student_id,first_name,last_name,gender,birth_date,department_id,gpa,university
SA001,Deniz,Yalçın,M,22/06/2004,DA1,Three,University A
SA002,Ayşe,Kaya,F,2002/04/06,DA4,Three,University A
SA003,Zeynep,Kaya,Other,2000-12-29,DA5,"3,01",University A
SA004,Mehmet,Koç,M,97-02-30,DA3,"3,47",University A
SA005,Ali,Aydın,M,2001-01-01,DA2,Three,University A
SA006,Elif,Koç,M,05-03-18,DA2,Four,University A
SA007,Fatma,Şahin,Other,04-07-22,DA5,"2,42",University A
SA008,Fatma,Koç,F,2006-06-23,DA1,"2,75",University A
SA009,Eren,Yılmaz,M,2000-02-30,DA5,2.48,University A
SA010,Deniz,Yılmaz,Other,2004/01/09,DA3,"2,75",University A
SA011,Ali,Şahin,Other,18/07/2006,DA5,Three,University A
SA012,Deniz,Öztürk,Other,25/03/2000,DA3,Four,University A
SA013,Ali,Yalçın,M,2003-06-25,DA1,Three,University A
SA014,Elif,Çelik,F,2004-05-12,DA1,Four,University A
SA015,Mehmet,Demir,Other,97-02-30,DA3,"3,15",University A
SA016,Fatma,Kaya,Other,01-06-30,DA3,2.83,University A
SA017,Elif,Kaya,F,2001-10-16,DA5,3.05,University A
SA018,Ayşe,Çelik,F,1998-10-04,DA3,"2,75",University A
SA019,Elif,Öztürk,F,2000-02-30,DA2,"3,53",University A
SA020,Ayşe,Yılmaz,Other,2002/11/01,DA4,2.78,University A
SA021,Deniz,Yılmaz,F,2002/07/08,DA1,"2,75",University A
SA022,Mehmet,Polat,F,01-02-14,DA2,Four,University A
SA023,Ayşe,Çelik,Other,2004-01-24,DA1,"3,61",University A
SA024,Ahmet,Koç,M,00-05-25,DA1,"2,75",University A
SA025,Can,Koç,M,2000-02-30,DA2,2.36,University A
SA026,Eren,Öztürk,F,2006/05/22,DA1,Four,University A
SA027,Mehmet,Çelik,Other,25/11/1998,DA1,"3,28",University A
SA028,Ahmet,Yılmaz,Other,2001-13-01,DA5,Four,University A
SA029,Fatma,Aydın,M,2000/04/16,DA2,Three,University A
SA030,Merve,Aydın,F,98-02-08,DA5,3.9,University A
SA031,Fatma,Kaya,Other,22/12/2000,DA3,Three,University A
SA032,Can,Demir,M,2000/00/10,DA5,Four,University A
SA033,Ali,Öztürk,M,2005-06-10,DA2,Four,University A
SA034,Mehmet,Şahin,M,13/10/2004,DA3,Three,University A
SA035,Fatma,Koç,M,2007-06-28,DA1,3.21,University A
SA036,Ali,Aydın,F,2005/02/22,DA2,"2,75",University A
SA037,Fatma,Çelik,F,05/11/1998,DA5,Four,University A
SA038,Mehmet,Polat,F,1998/06/21,DA3,3.71,University A
SA039,Zeynep,Kaya,Other,2000-10-19,DA3,"2,75",University A
SA040,Eren,Demir,F,28/10/1999,DA4,Three,University A
SA041,Ahmet,Kaya,M,1999-10-15,DA4,"3,63",University A
SA042,Elif,Koç,M,04/06/2001,DA2,Three,University A
SA043,Can,Yılmaz,M,2000-02-30,DA5,Three,University A
SA044,Mehmet,Yalçın,M,1998-06-06,DA5,Three,University A
SA045,Ahmet,Yalçın,Other,99-04-19,DA5,"2,75",University A
SA046,Ali,Öztürk,Other,14/09/2005,DA3,Three,University A
SA047,Eren,Aydın,Other,2007-07-06,DA3,Three,University A
SA048,Ahmet,Şahin,Other,06/06/1999,DA4,"2,72",University A
SA049,Eren,Yalçın,M,2001-13-01,DA3,Four,University A
SA050,Eren,Aydın,M,02-12-15,DA2,"3,51",University A
SA051,Deniz,Yılmaz,M,2000/00/10,DA1,Three,University A
SA052,Elif,Kaya,F,1998-04-11,DA2,3.87,University A
SA053,Merve,Polat,Other,15/06/2004,DA4,2.94,University A
SA054,Ayşe,Polat,F,2000-02-30,DA1,3.06,University A
SA055,Merve,Demir,M,2000/00/10,DA4,Four,University A
SA056,Ahmet,Öztürk,M,99-10-14,DA4,Three,University A
SA057,Fatma,Koç,Other,2000/09/06,DA4,Three,University A
SA058,Zeynep,Aydın,Other,27/11/1998,DA2,"3,32",University A
SA059,Ayşe,Polat,M,2000-02-30,DA4,"2,75",University A
SA060,Eren,Çelik,Other,02-04-08,DA1,"2,75",University A
SA061,Ahmet,Öztürk,Other,97-02-30,DA4,2.42,University A
SA062,Ahmet,Aydın,Other,05-08-13,DA2,Four,University A
SA063,Fatma,Çelik,M,2001-13-01,DA1,"2,75",University A
SA064,Mehmet,Çelik,M,2002/04/02,DA2,"2,75",University A
